ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm00509,22.117,40.85,0.0,189.0,EU,B,NF,70.0,POINT (22.117 40.85)
wsm00510,22.127,40.053,0.0,143.0,EU,C,NF,103.0,POINT (22.127 40.053)
wsm00511,23.567,41.125,0.0,139.0,EU,A,NF,90.0,POINT (23.567 41.125)
wsm00512,23.567,41.125,0.0,139.0,EU,A,NF,34.0,POINT (23.567 41.125)
wsm00513,23.882,40.867,0.0,106.0,EU,B,NF,78.0,POINT (23.882 40.867)
wsm00514,23.882,40.867,0.0,106.0,EU,B,NF,88.0,POINT (23.882 40.867)
wsm00515,23.05,40.683,0.0,117.0,EU,B,NF,62.0,POINT (23.05 40.683)
wsm00517,23.333,40.667,0.0,101.0,EU,A,NF,97.0,POINT (23.333 40.667)
wsm00518,23.333,40.667,0.0,101.0,EU,A,NF,74.0,POINT (23.333 40.667)
wsm00520,25.917,40.917,0.0,66.0,EU,A,NF,84.0,POINT (25.917 40.917)
wsm00521,26.057,40.877,0.0,58.0,EU,A,NF,83.0,POINT (26.057 40.877)
wsm00690,9.513,50.2,0.03,1245.0,EU,C,NF,152.0,POINT (9.513 50.2)
wsm00694,7.753,48.149,0.04,1046.0,EU,C,SS,74.0,POINT (7.753 48.149)
wsm00705,7.94,50.07,11.0,1249.0,EU,C,TF,137.0,POINT (7.94 50.07)
wsm00706,6.69,50.65,9.0,1334.0,EU,C,NF,38.0,POINT (6.69 50.65)
wsm00707,7.97,50.26,8.0,1269.0,EU,C,TF,163.0,POINT (7.97 50.26)
wsm00712,7.99,50.68,13.0,1315.0,EU,C,NS,118.0,POINT (7.99 50.68)
wsm00715,7.7,50.18,6.0,1265.0,EU,C,NF,129.0,POINT (7.7 50.18)
wsm00717,8.3,50.04,5.0,1241.0,EU,C,NF,148.0,POINT (8.3 50.04)
wsm00721,7.21,50.53,6.0,1311.0,EU,C,NF,162.0,POINT (7.21 50.53)
wsm00723,6.78,50.96,14.0,1365.0,EU,C,NF,26.0,POINT (6.78 50.96)
wsm00754,5.51,50.85,10.7,1382.0,EU,C,NF,86.0,POINT (5.51 50.85)
wsm00755,6.1,50.43,11.5,1324.0,EU,C,NF,132.0,POINT (6.1 50.43)
wsm00759,13.649,46.63,0.56,860.0,EU,C,TF,158.0,POINT (13.649 46.63)
wsm00761,15.167,47.283,0.8,930.0,EU,C,SS,149.0,POINT (15.167 47.283)
wsm00765,14.69,47.193,1.1,931.0,EU,B,SS,7.0,POINT (14.69 47.193)
wsm00770,5.926,50.813,22.2,1368.0,EU,C,SS,131.0,POINT (5.926 50.813)
wsm00774,5.513,50.632,6.0,1359.0,EU,C,SS,122.0,POINT (5.513 50.632)
wsm00802,18.11,47.06,12.0,878.0,EU,B,SS,73.0,POINT (18.11 47.06)
wsm01357,10.65,35.7,0.0,290.0,AF,C,TF,143.0,POINT (10.65 35.7)
wsm01358,9.8,35.55,0.0,254.0,AF,C,TS,103.0,POINT (9.8 35.55)
wsm01558,10.1,37.25,0.0,140.0,AF,C,TF,154.0,POINT (10.1 37.25)
wsm01559,10.3,36.8,0.0,184.0,AF,C,TS,25.0,POINT (10.3 36.8)
wsm02400,14.36,46.318,3.0,840.0,EU,C,TF,78.0,POINT (14.36 46.318)
wsm02404,15.536,46.195,4.0,806.0,EU,C,TF,167.0,POINT (15.536 46.195)
wsm02411,16.57,42.37,24.0,375.0,EU,B,TS,174.0,POINT (16.57 42.37)
wsm02413,13.42,43.72,0.0,542.0,EU,A,SS,85.0,POINT (13.42 43.72)
wsm02454,13.197,46.302,10.0,818.0,EU,C,TF,155.0,POINT (13.197 46.302)
wsm02455,13.293,46.298,15.0,819.0,EU,C,TS,162.0,POINT (13.293 46.298)
wsm02456,13.0,46.25,10.0,809.0,EU,B,TF,178.0,POINT (13 46.25)
wsm02457,13.25,46.3,10.0,818.0,EU,A,TF,171.0,POINT (13.25 46.3)
wsm02458,13.163,46.295,5.0,816.0,EU,C,TF,45.0,POINT (13.163 46.295)
wsm02459,13.162,46.293,12.0,816.0,EU,C,TF,133.0,POINT (13.162 46.293)
wsm02460,13.193,46.26,10.0,813.0,EU,C,TF,170.0,POINT (13.193 46.26)
wsm02461,13.203,46.29,5.0,816.0,EU,C,TF,161.0,POINT (13.203 46.29)
wsm02462,13.293,46.348,3.0,824.0,EU,C,TF,167.0,POINT (13.293 46.348)
wsm02463,13.245,46.307,10.0,819.0,EU,C,TF,167.0,POINT (13.245 46.307)
wsm02464,13.152,46.242,2.0,810.0,EU,C,TF,159.0,POINT (13.152 46.242)
wsm02465,13.178,46.29,7.0,816.0,EU,C,TF,36.0,POINT (13.178 46.29)
wsm02466,13.185,46.29,3.0,816.0,EU,C,TF,170.0,POINT (13.185 46.29)
wsm02468,13.215,46.308,3.0,819.0,EU,C,TF,173.0,POINT (13.215 46.308)
wsm02469,13.138,46.265,5.0,813.0,EU,C,TF,158.0,POINT (13.138 46.265)
wsm02470,13.045,46.245,9.0,809.0,EU,C,TF,172.0,POINT (13.045 46.245)
wsm02471,13.302,46.215,8.0,810.0,EU,C,TF,5.0,POINT (13.302 46.215)
wsm02472,13.325,46.263,6.0,815.0,EU,C,TF,154.0,POINT (13.325 46.263)
wsm02473,13.318,46.273,9.0,816.0,EU,C,TF,165.0,POINT (13.318 46.273)
wsm02475,12.712,46.332,8.0,815.0,EU,C,TF,167.0,POINT (12.712 46.332)
wsm02476,13.132,46.322,17.0,819.0,EU,C,TF,172.0,POINT (13.132 46.322)
wsm02480,12.142,46.012,10.0,774.0,EU,C,SS,147.0,POINT (12.142 46.012)
wsm02481,13.208,46.283,11.0,816.0,EU,C,NS,56.0,POINT (13.208 46.283)
wsm02482,12.57,43.27,10.0,477.0,EU,B,NF,117.0,POINT (12.57 43.27)
wsm02497,15.916,46.208,10.0,800.0,EU,C,NF,15.0,POINT (15.916 46.208)
wsm02500,12.45,50.25,9.0,1246.0,EU,C,SS,146.0,POINT (12.45 50.25)
wsm02501,12.45,50.24,9.0,1245.0,EU,C,NS,110.0,POINT (12.45 50.24)
wsm02502,12.43,50.22,8.0,1243.0,EU,C,TF,109.0,POINT (12.43 50.22)
wsm02503,12.46,50.23,10.0,1244.0,EU,C,SS,133.0,POINT (12.46 50.23)
wsm02504,12.46,50.23,0.0,1244.0,EU,A,SS,148.0,POINT (12.46 50.23)
wsm02505,12.44,50.23,9.0,1244.0,EU,C,NS,132.0,POINT (12.44 50.23)
wsm02508,12.45,50.24,9.0,1245.0,EU,C,SS,144.0,POINT (12.45 50.24)
wsm02510,12.45,50.24,9.0,1245.0,EU,C,SS,147.0,POINT (12.45 50.24)
wsm02511,12.47,50.24,9.0,1245.0,EU,C,SS,148.0,POINT (12.47 50.24)
wsm02526,24.2,42.2,15.0,240.0,EU,B,NF,109.0,POINT (24.2 42.2)
wsm02545,26.0,43.25,0.0,293.0,EU,A,SS,73.0,POINT (26 43.25)
wsm02578,17.617,47.317,0.01,907.0,EU,C,NF,151.0,POINT (17.617 47.317)
wsm0339,-1.53,53.19,13.4,1558.0,EU,C,TS,147.0,POINT (-1.53 53.19)
wsm0340,-5.89,56.8,12.2,1071.0,EU,C,TS,29.0,POINT (-5.89 56.8)
wsm0341,1.45,51.32,9.1,1553.0,EU,C,TS,144.0,POINT (1.45 51.32)
wsm0343,4.23,50.309,0.0,1361.0,EU,C,TS,27.0,POINT (4.23 50.309)
wsm0359,-3.44,52.54,22.0,1554.0,EU,C,TF,143.0,POINT (-3.44 52.54)
wsm0360,-0.306,53.3204,17.4,1588.0,EU,C,TF,142.0,POINT (-0.306 53.3204)
wsm0361,1.4421,51.2819,15.5,1550.0,EU,C,TF,121.0,POINT (1.4421 51.2819)
wsm0363,-3.33,52.32,14.0,1579.0,EU,C,TF,162.0,POINT (-3.33 52.32)
wsm0365,-0.19,52.5,11.0,1670.0,EU,C,TF,148.0,POINT (-0.19 52.5)
wsm0366,-4.4,53.13,11.0,1465.0,EU,C,TF,112.0,POINT (-4.4 53.13)
wsm0368,-2.86,54.21,8.0,1416.0,EU,C,TF,119.0,POINT (-2.86 54.21)
wsm0403,-2.0568,52.4247,30.4,1613.0,EU,C,SS,163.0,POINT (-2.0568 52.4247)
wsm0404,-3.9,51.72,24.4,1619.0,EU,C,SS,162.0,POINT (-3.9 51.72)
wsm0405,-1.64,54.57,23.7,1423.0,EU,C,SS,160.0,POINT (-1.64 54.57)
wsm0406,-4.398,52.958,22.8,1482.0,EU,C,SS,136.0,POINT (-4.398 52.958)
wsm0407,-4.38,52.96,21.0,1482.0,EU,C,SS,148.0,POINT (-4.38 52.96)
wsm0408,-0.06,53.65,19.3,1565.0,EU,C,SS,158.0,POINT (-0.06 53.65)
wsm0409,-5.24,55.4,19.0,1222.0,EU,C,SS,176.0,POINT (-5.24 55.4)
wsm0410,-0.33,53.4,18.0,1579.0,EU,C,SS,149.0,POINT (-0.33 53.4)
wsm0411,-0.33,53.4,18.0,1579.0,EU,C,SS,143.0,POINT (-0.33 53.4)
wsm0412,-4.35,53.2,16.0,1460.0,EU,C,SS,145.0,POINT (-4.35 53.2)
wsm0413,-2.2,52.53,15.0,1598.0,EU,C,SS,131.0,POINT (-2.2 52.53)
wsm0414,-2.15,52.53,14.0,1599.0,EU,C,SS,144.0,POINT (-2.15 52.53)
wsm0415,-1.61,52.28,14.0,1642.0,EU,C,SS,137.0,POINT (-1.61 52.28)
wsm0416,-3.03,52.44,14.0,1578.0,EU,C,SS,135.0,POINT (-3.03 52.44)
wsm0417,-3.146,54.39,12.6,1390.0,EU,C,SS,156.0,POINT (-3.146 54.39)
wsm0418,-2.15,52.52,12.0,1600.0,EU,C,SS,146.0,POINT (-2.15 52.52)
wsm0419,-0.86,52.85,12.0,1613.0,EU,C,SS,140.0,POINT (-0.86 52.85)
wsm0420,-3.64,55.1,12.0,1305.0,EU,C,SS,127.0,POINT (-3.64 55.1)
wsm0421,-3.22,52.43,11.0,1572.0,EU,C,SS,167.0,POINT (-3.22 52.43)
wsm0422,-5.34,57.23,11.0,1049.0,EU,C,SS,8.0,POINT (-5.34 57.23)
wsm0423,-5.34,57.23,11.0,1049.0,EU,C,SS,7.0,POINT (-5.34 57.23)
wsm0424,-3.8324,51.6729,10.0,1626.0,EU,C,SS,150.0,POINT (-3.8324 51.6729)
wsm0425,-3.83,53.25,10.0,1473.0,EU,C,SS,143.0,POINT (-3.83 53.25)
wsm0426,-4.6269,52.8308,10.0,1487.0,EU,C,SS,93.0,POINT (-4.6269 52.8308)
wsm0427,-3.83,51.77,7.5,1616.0,EU,C,SS,163.0,POINT (-3.83 51.77)
wsm0428,-3.63,55.09,7.0,1307.0,EU,C,SS,125.0,POINT (-3.63 55.09)
wsm0430,-5.2,50.1,6.0,1544.0,EU,C,SS,124.0,POINT (-5.2 50.1)
wsm0431,-1.314,54.594,4.6,1433.0,EU,C,SS,145.0,POINT (-1.314 54.594)
wsm0432,-4.43,56.17,4.0,1178.0,EU,C,SS,28.0,POINT (-4.43 56.17)
wsm0433,-4.16,51.36,3.5,1646.0,EU,C,SS,134.0,POINT (-4.16 51.36)
wsm0434,-0.72,52.73,3.2,1630.0,EU,C,SS,107.0,POINT (-0.72 52.73)
wsm0435,-5.61,56.96,3.0,1065.0,EU,C,SS,16.0,POINT (-5.61 56.96)
wsm0436,-0.73,52.72,2.5,1630.0,EU,C,SS,110.0,POINT (-0.73 52.72)
wsm0447,-4.39,52.96,24.5,1482.0,EU,C,NS,149.0,POINT (-4.39 52.96)
wsm0448,-2.57,51.99,21.1,1637.0,EU,C,NS,140.0,POINT (-2.57 51.99)
wsm0449,-3.57,51.97,14.0,1605.0,EU,C,NS,137.0,POINT (-3.57 51.97)
wsm0450,-2.74,52.79,10.0,1554.0,EU,C,NS,130.0,POINT (-2.74 52.79)
wsm0451,-4.91,56.04,7.0,1175.0,EU,C,NS,177.0,POINT (-4.91 56.04)
wsm0452,-4.91,56.04,6.0,1175.0,EU,C,NS,177.0,POINT (-4.91 56.04)
wsm0453,1.17,51.1,5.0,1543.0,EU,C,NS,115.0,POINT (1.17 51.1)
wsm0463,-4.38,52.96,21.0,1482.0,EU,C,NF,120.0,POINT (-4.38 52.96)
wsm0464,1.83,56.97,10.0,1343.0,EU,C,NF,134.0,POINT (1.83 56.97)
wsm0465,3.816,50.406,7.0,1384.0,EU,C,NF,91.0,POINT (3.816 50.406)
wsm0466,-3.25,51.7,6.0,1642.0,EU,C,NF,174.0,POINT (-3.25 51.7)
wsm04663,15.19,46.585,10.0,855.0,EU,C,TF,35.0,POINT (15.19 46.585)
wsm0467,-3.408,55.211,5.9,1303.0,EU,C,NF,144.0,POINT (-3.408 55.211)
wsm0468,-3.26,51.7,5.0,1642.0,EU,C,NF,0.0,POINT (-3.26 51.7)
wsm04768,13.028,46.377,7.0,823.0,EU,C,TF,163.0,POINT (13.028 46.377)
wsm04769,12.714,46.27,7.0,808.0,EU,C,TS,37.0,POINT (12.714 46.27)
wsm04771,13.21,46.309,11.0,819.0,EU,C,TF,3.0,POINT (13.21 46.309)
wsm05088,24.68,45.3,20.0,544.0,EU,C,NF,60.0,POINT (24.68 45.3)
wsm06194,-2.793,40.468,0.0,486.0,EU,C,SS,161.0,POINT (-2.793 40.468)
wsm06689,11.673,47.338,0.0,919.0,EU,C,NF,50.0,POINT (11.673 47.338)
wsm06766,14.65,47.15,10.0,927.0,EU,C,SS,26.0,POINT (14.65 47.15)
wsm06826,25.58,46.114,0.0,608.0,EU,B,NF,41.0,POINT (25.58 46.114)
wsm06827,25.409,46.021,0.0,601.0,EU,B,NF,40.0,POINT (25.409 46.021)
wsm06828,25.409,46.029,0.0,602.0,EU,B,NF,59.0,POINT (25.409 46.029)
wsm06829,25.431,46.031,0.0,601.0,EU,B,NF,48.0,POINT (25.431 46.031)
wsm06830,25.777,45.875,0.0,578.0,EU,B,NF,54.0,POINT (25.777 45.875)
wsm07895,13.32,46.24,10.0,813.0,EU,C,TF,24.0,POINT (13.32 46.24)
wsm07896,13.39,46.15,10.0,804.0,EU,C,TF,170.0,POINT (13.39 46.15)
wsm07938,5.925,51.17,14.0,1406.0,EU,C,NF,124.0,POINT (5.925 51.17)
wsm07998,-7.2,37.23,0.0,189.0,EU,C,NS,127.0,POINT (-7.2 37.23)
wsm07999,-1.9,37.0,0.0,116.0,EU,C,NF,1.0,POINT (-1.9 37)
wsm08000,-1.9,37.0,0.0,116.0,EU,C,SS,28.0,POINT (-1.9 37)
wsm08001,-1.9,37.0,0.0,116.0,EU,C,SS,161.0,POINT (-1.9 37)
wsm08002,-1.62,37.71,0.0,198.0,EU,C,TS,173.0,POINT (-1.62 37.71)
wsm08003,-1.63,37.71,0.0,197.0,EU,C,TF,172.0,POINT (-1.63 37.71)
wsm08004,-1.64,37.71,0.0,197.0,EU,C,NF,64.0,POINT (-1.64 37.71)
wsm08005,-1.64,37.71,0.0,197.0,EU,C,SS,146.0,POINT (-1.64 37.71)
wsm08006,-1.64,37.7,0.0,196.0,EU,C,TS,172.0,POINT (-1.64 37.7)
wsm08007,-1.65,37.7,0.0,195.0,EU,B,TF,175.0,POINT (-1.65 37.7)
wsm08008,-5.97,36.25,0.0,149.0,EU,C,TF,22.0,POINT (-5.97 36.25)
wsm08010,-5.93,36.46,0.0,171.0,EU,C,NF,104.0,POINT (-5.93 36.46)
wsm08011,-6.04,36.86,0.0,205.0,EU,C,NF,48.0,POINT (-6.04 36.86)
wsm08012,-5.58,36.99,0.0,226.0,EU,B,NF,160.0,POINT (-5.58 36.99)
wsm08014,-5.81,37.06,0.0,234.0,EU,C,SS,122.0,POINT (-5.81 37.06)
wsm08015,-3.11,37.54,0.0,167.0,EU,C,SS,153.0,POINT (-3.11 37.54)
wsm08016,-3.11,37.54,0.0,167.0,EU,C,TF,53.0,POINT (-3.11 37.54)
wsm08017,-2.01,38.73,0.0,296.0,EU,C,NF,143.0,POINT (-2.01 38.73)
wsm08018,-2.44,38.64,0.0,282.0,EU,C,TF,146.0,POINT (-2.44 38.64)
wsm08019,0.0,38.83,0.0,304.0,EU,C,NF,100.0,POINT (0 38.83)
wsm08020,-0.45,38.72,0.0,310.0,EU,C,NF,177.0,POINT (-0.45 38.72)
wsm08021,-2.78,40.47,0.0,486.0,EU,B,NF,156.0,POINT (-2.78 40.47)
wsm08022,-2.78,40.47,0.0,486.0,EU,C,NF,42.0,POINT (-2.78 40.47)
wsm08024,-2.72,40.6,0.0,500.0,EU,C,SS,76.0,POINT (-2.72 40.6)
wsm08026,-3.57,40.83,0.0,533.0,EU,C,SS,134.0,POINT (-3.57 40.83)
wsm08028,-2.47,41.35,0.0,583.0,EU,C,NF,59.0,POINT (-2.47 41.35)
wsm08029,-2.7,41.45,0.0,595.0,EU,C,NF,106.0,POINT (-2.7 41.45)
wsm08030,-7.32,37.3,0.0,191.0,EU,C,NF,138.0,POINT (-7.32 37.3)
wsm08033,-2.25,36.82,0.0,85.0,EU,C,NF,44.0,POINT (-2.25 36.82)
wsm08034,-2.96,36.79,0.0,84.0,EU,C,NF,124.0,POINT (-2.96 36.79)
wsm08035,-2.15,36.87,0.0,93.0,EU,C,NF,51.0,POINT (-2.15 36.87)
wsm08036,-2.15,36.87,0.0,93.0,EU,C,SS,139.0,POINT (-2.15 36.87)
wsm08038,-3.02,36.91,0.0,98.0,EU,C,NF,91.0,POINT (-3.02 36.91)
wsm08039,-3.02,36.94,0.0,101.0,EU,B,NF,159.0,POINT (-3.02 36.94)
wsm08040,-1.59,38.22,0.0,251.0,EU,C,NF,171.0,POINT (-1.59 38.22)
wsm08041,-1.7,38.35,0.0,261.0,EU,C,NF,80.0,POINT (-1.7 38.35)
wsm08042,-0.29,39.0,0.0,331.0,EU,B,NF,45.0,POINT (-0.29 39)
wsm08043,-0.57,39.28,0.0,370.0,EU,C,NF,162.0,POINT (-0.57 39.28)
wsm08044,-4.05,38.98,0.0,345.0,EU,C,SS,150.0,POINT (-4.05 38.98)
wsm08045,-4.04,38.93,0.0,339.0,EU,C,NF,14.0,POINT (-4.04 38.93)
wsm08049,-2.91,40.13,0.0,449.0,EU,C,NF,79.0,POINT (-2.91 40.13)
wsm08050,-3.03,40.19,0.0,456.0,EU,C,NF,57.0,POINT (-3.03 40.19)
wsm08051,-3.04,40.18,0.0,455.0,EU,C,TF,20.0,POINT (-3.04 40.18)
wsm08052,-3.04,40.18,0.0,455.0,EU,C,NF,63.0,POINT (-3.04 40.18)
wsm08054,-3.53,40.27,0.0,471.0,EU,B,NF,53.0,POINT (-3.53 40.27)
wsm08057,-6.11,38.99,0.0,403.0,EU,C,SS,97.0,POINT (-6.11 38.99)
wsm08058,-5.1,39.29,0.0,413.0,EU,C,NF,175.0,POINT (-5.1 39.29)
wsm08059,0.61,41.97,0.0,617.0,EU,C,TF,28.0,POINT (0.61 41.97)
wsm08061,2.74,42.17,0.0,594.0,EU,B,NF,84.0,POINT (2.74 42.17)
wsm08063,2.8,42.19,0.0,595.0,EU,C,NF,87.0,POINT (2.8 42.19)
wsm08065,1.72,42.37,0.0,632.0,EU,C,TF,7.0,POINT (1.72 42.37)
wsm08066,1.74,42.35,0.0,629.0,EU,C,SS,168.0,POINT (1.74 42.35)
wsm08067,-3.62,42.3,0.0,695.0,EU,C,NF,101.0,POINT (-3.62 42.3)
wsm08068,-0.73,40.29,0.0,478.0,EU,C,NF,117.0,POINT (-0.73 40.29)
wsm09992,10.22,46.52,10.0,832.0,EU,C,NF,153.0,POINT (10.22 46.52)
wsm10000,13.6,46.17,10.0,810.0,EU,C,TF,11.0,POINT (13.6 46.17)
wsm10045,10.35,46.51,10.0,830.0,EU,C,NF,161.0,POINT (10.35 46.51)
wsm100568,28.65,37.8,21.7,33.0,AT,C,NF,113.0,POINT (28.65 37.8)
wsm100648,20.02,40.13,18.8,187.0,EU,C,SS,53.0,POINT (20.02 40.13)
wsm100691,20.17,41.23,20.4,296.0,EU,C,SS,50.0,POINT (20.17 41.23)
wsm100910,40.78,39.49,15.0,30.0,EU,C,SS,153.0,POINT (40.78 39.49)
wsm101292,19.53,40.05,16.0,158.0,EU,C,TS,73.0,POINT (19.53 40.05)
wsm101318,19.6,40.04,19.6,161.0,EU,C,TF,70.0,POINT (19.6 40.04)
wsm101322,19.66,40.24,14.4,182.0,EU,C,SS,85.0,POINT (19.66 40.24)
wsm102145,21.25,38.31,12.0,20.0,AS,C,NF,78.0,POINT (21.25 38.31)
wsm102205,19.93,42.26,12.0,382.0,EU,C,NF,160.0,POINT (19.93 42.26)
wsm102221,28.1,40.28,12.0,39.0,AT,C,SS,113.0,POINT (28.1 40.28)
wsm102226,12.99,43.61,24.4,521.0,EU,C,SS,169.0,POINT (12.99 43.61)
wsm102261,28.98,40.46,14.3,26.0,AT,C,NS,96.0,POINT (28.98 40.46)
wsm10231,14.367,47.583,7.0,976.0,EU,C,SS,47.0,POINT (14.367 47.583)
wsm10232,15.917,47.65,8.0,958.0,EU,C,SS,174.0,POINT (15.917 47.65)
wsm10233,14.683,47.067,10.0,918.0,EU,C,SS,20.0,POINT (14.683 47.067)
wsm10234,13.5,46.39,15.0,832.0,EU,C,SS,171.0,POINT (13.5 46.39)
wsm102637,21.68,43.81,18.7,474.0,EU,C,SS,62.0,POINT (21.68 43.81)
wsm102668,22.55,48.32,12.0,916.0,EU,C,SS,82.0,POINT (22.55 48.32)
wsm102671,20.65,40.04,38.1,175.0,EU,C,TS,48.0,POINT (20.65 40.04)
wsm102673,12.77,36.11,10.0,270.0,AF,C,SS,131.0,POINT (12.77 36.11)
wsm102691,15.67,35.95,33.3,148.0,AF,C,SS,143.0,POINT (15.67 35.95)
wsm103043,14.78,38.02,15.0,46.0,AF,C,NF,149.0,POINT (14.78 38.02)
wsm103066,23.58,39.29,24.0,10.0,AS,C,SS,101.0,POINT (23.58 39.29)
wsm103170,19.34,47.42,5.0,914.0,EU,C,SS,51.0,POINT (19.34 47.42)
wsm103417,42.72,39.6,14.7,158.0,EU,C,SS,167.0,POINT (42.72 39.6)
wsm103458,28.52,38.28,13.2,45.0,AT,C,NF,133.0,POINT (28.52 38.28)
wsm103500,39.96,38.83,24.5,19.0,AT,C,SS,18.0,POINT (39.96 38.83)
wsm103605,14.74,44.91,26.0,684.0,EU,C,SS,179.0,POINT (14.74 44.91)
wsm103650,39.02,38.49,23.9,24.0,AT,C,SS,21.0,POINT (39.02 38.49)
wsm103793,22.22,40.35,12.0,151.0,EU,C,NF,76.0,POINT (22.22 40.35)
wsm103798,39.23,38.45,12.0,16.0,AT,C,NF,25.0,POINT (39.23 38.45)
wsm103877,39.23,38.35,17.7,22.0,AR,C,SS,22.0,POINT (39.23 38.35)
wsm104163,20.24,38.36,12.0,21.0,EU,C,SS,77.0,POINT (20.24 38.36)
wsm104165,20.26,38.34,12.0,21.0,EU,C,SS,63.0,POINT (20.26 38.34)
wsm104170,20.34,38.37,17.7,14.0,EU,C,SS,71.0,POINT (20.34 38.37)
wsm104265,31.1,38.08,31.4,250.0,AT,C,NF,168.0,POINT (31.1 38.08)
wsm104270,30.91,37.92,13.5,232.0,AT,C,NF,9.0,POINT (30.91 37.92)
wsm104495,21.5,38.52,13.9,13.0,EU,C,NF,123.0,POINT (21.5 38.52)
wsm104497,21.47,38.5,14.5,13.0,EU,C,NF,118.0,POINT (21.47 38.5)
wsm104499,21.48,38.55,12.0,17.0,EU,C,NF,123.0,POINT (21.48 38.55)
wsm104507,30.94,37.95,19.5,235.0,AT,C,NF,152.0,POINT (30.94 37.95)
wsm104509,30.87,37.96,14.6,229.0,AT,C,NF,3.0,POINT (30.87 37.96)
wsm104601,19.93,41.1,27.4,272.0,EU,C,TS,38.0,POINT (19.93 41.1)
wsm104623,24.12,39.66,15.2,29.0,AS,C,SS,102.0,POINT (24.12 39.66)
wsm10464,12.119,49.816,5.9,1196.0,EU,A,SS,160.0,POINT (12.119 49.816)
